,precision,accuracy,recall,specificity,f1
0.1,0.17,0.11,0.27,0.0,0.21
0.2,0.01,0.01,0.02,0.0,0.02
0.3,0.01,0.01,0.01,0.01,0.01
0.4,0.0,0.01,0.0,0.02,
0.5,0.0,0.01,0.0,0.03,
0.6,0.0,0.03,0.0,0.05,
0.7,0.0,0.05,0.0,0.1,
0.8,0.0,0.09,0.0,0.15,
0.9,0.0,0.16,0.0,0.28,
